,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
More Than Words (feat. MNEK),0.669,0.893,-5.041,0.0396,0.0216,0.0011,0.248,0.713,124.04,167255.0
Homeless,0.443,0.881,-4.574,0.0696,0.0711,0.114,0.0692,0.744,120.942,228241.0
Over You,0.425,0.922,-2.6,0.0412,0.0174,0.0,0.104,0.564,156.045,204661.0
Homeless,0.443,0.881,-4.574,0.0696,0.0711,0.114,0.0692,0.744,120.942,228241.0
So Many Times,0.809,0.2,-17.059,0.0394,0.761,0.167,0.0967,0.445,122.283,289489.0
i miss u (with Au/Ra),0.668,0.726,-7.512,0.0468,0.0387,0.0,0.134,0.453,124.075,172143.0
Wired (with Ella Eyre),0.7,0.764,-4.836,0.0314,0.0247,0.0,0.162,0.424,125.02,202652.0
Deep End - SIDEPIECE Remix,0.763,0.665,-9.063,0.0807,0.122,0.0112,0.476,0.422,126.025,196667.0
Telegrama (Double MZK Remix),0.734,0.814,-5.493,0.279,0.0124,0.027,0.133,0.471,122.082,159194.0
Can't Stop,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,269000.0
"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",0.132,0.0447,-20.733,0.0401,0.983,0.925,0.13,0.0388,89.704,239520.0
"Symphony No. 5 in C Minor, Op. 67 ""Fate"": Allegro con brio",0.319,0.315,-13.957,0.0487,0.98,0.916,0.129,0.165,93.658,448187.0
"The Four Seasons, Violin Concerto in E Major, RV 269 ""Spring"": I. Allegro",0.489,0.173,-15.65,0.0449,0.745,0.747,0.116,0.217,108.548,192747.0
"Adagio for Strings, Op. 11",0.115,0.0858,-20.432,0.0447,0.912,0.9,0.0906,0.0296,89.296,596227.0
"Die Walkürie, WWV 86b, Act III: Ride of the Valkyries",0.211,0.42,-12.021,0.0341,0.919,0.929,0.124,0.108,95.003,311320.0
"Nocturnes, Op. 9: No. 2, Andante in E-Flat Major",0.429,0.0293,-24.895,0.0368,0.992,0.877,0.0784,0.123,101.049,293160.0
"Canon and Gigue in D Major, P. 37: I. Canon",0.216,0.0797,-24.843,0.0523,0.851,9.44e-05,0.146,0.37,64.079,220893.0
Carmina Burana: O Fortuna,0.392,0.307,-13.074,0.0333,0.96,0.0451,0.0854,0.338,136.883,162773.0
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",0.0923,0.0744,-23.757,0.0479,0.651,0.000237,0.168,0.0823,175.873,289573.0
"The Planets, Op. 32: IV. Jupiter, the Bringer of Jollity",0.365,0.229,-16.174,0.0397,0.973,0.888,0.216,0.279,131.935,467040.0
"Suite bergamasque, L. 75: III. Clair de lune",0.335,0.00501,-33.366,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960.0
"Nabucco, Act III: Chorus of the Hebrew Slaves, ""Va pensiero, sull'ali dorate""",0.224,0.0945,-16.475,0.0426,0.989,0.764,0.102,0.0574,124.206,299253.0
"Piano Concerto No. 21 in C Major, K. 467: II. Andante",0.137,0.0311,-28.208,0.0381,0.982,0.972,0.0908,0.063,179.223,433667.0
"Brandenburg Concerto No. 3 in G Major, BWV 1048: III. Allegro",0.612,0.372,-14.594,0.052,0.961,0.702,0.107,0.804,97.573,344840.0
"Thaïs, Act II: Méditation",0.186,0.199,-17.319,0.0454,0.722,0.583,0.13,0.0373,123.587,301093.0
"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo",0.154,0.00261,-36.267,0.0419,0.89,0.763,0.125,0.0366,83.549,775307.0
"The Blue Danube, Op. 314",0.311,0.184,-14.405,0.0307,0.974,0.79,0.0669,0.26,96.141,351107.0
"21 Hungarian Dances, WoO 1: No. 5, Allegro in F-Sharp Minor",0.32,0.233,-12.157,0.0342,0.823,0.179,0.268,0.4,139.477,158627.0
"Swan Lake, Op. 20a: No. 1, Scène",0.115,0.261,-13.584,0.0363,0.882,0.906,0.281,0.0371,76.836,181667.0
3 Gymnopédies: I. Lent et douloureux,0.515,0.0106,-32.486,0.0729,0.993,0.932,0.092,0.225,76.779,192547.0
"Requiem in D Minor, K. 626: III. Sequenz, No. 6, Lacrymosa",0.174,0.2,-14.482,0.0352,0.99,0.952,0.176,0.0398,95.555,169493.0
