,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Shout,0.773,0.747,-4.061,0.0885,0.0242,8.99e-06,0.109,0.801,126.014,246240.0
Go Your Own Way,0.583,0.947,-5.12,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613.0
Wild World - Remastered Version,0.573,0.722,-6.518,0.0295,0.182,0.0,0.29,0.59,144.209,208560.0
What's Up?,0.565,0.564,-10.044,0.0292,0.161,0.0,0.114,0.454,134.355,295533.0
Easy Lover - Remastered,0.747,0.794,-9.455,0.0342,0.0475,0.00207,0.056,0.933,128.912,304840.0
Like a Prayer,0.624,0.842,-5.285,0.0376,0.264,2.11e-05,0.181,0.257,111.037,342680.0
Fly Away,0.587,0.872,-5.066,0.0484,0.018,0.0,0.622,0.735,159.925,221333.0
Anybody Seen My Baby?,0.605,0.742,-4.363,0.0327,0.00286,0.00105,0.256,0.47,105.04,271160.0
Kiss,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,208667.0
Unbelievable,0.636,0.848,-6.854,0.0362,0.000339,0.0402,0.141,0.934,104.073,209813.0
How Do You Do!,0.634,0.778,-4.135,0.0809,0.0189,0.0,0.291,0.462,155.982,180066.0
Running In The Family - Single Version,0.822,0.853,-5.567,0.0448,0.148,0.0,0.0973,0.929,124.836,238173.0
Bring Me To Life,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,235893.0
Dancing On The Ceiling,0.698,0.774,-8.642,0.048,0.12,2.26e-06,0.394,0.731,133.197,270720.0
A Horse with No Name,0.654,0.506,-17.18,0.0535,0.686,0.0155,0.155,0.831,123.179,252240.0
Whataya Want from Me,0.44,0.683,-4.732,0.0489,0.00706,0.0,0.0593,0.445,185.948,227320.0
'74-'75,0.53,0.59,-9.169,0.025,0.183,0.00227,0.0675,0.43,144.202,278973.0
First Time,0.526,0.667,-5.451,0.0437,0.0505,0.0,0.321,0.43,155.085,165779.0
We like to Party! (The Vengabus),0.785,0.931,-4.813,0.0465,0.0148,0.637,0.0459,0.969,135.986,222459.0
Nikita,0.632,0.656,-9.29,0.0277,0.123,0.000264,0.0735,0.752,86.605,343240.0
You Can Call Me Al,0.776,0.763,-8.124,0.0534,0.182,0.00647,0.077,0.82,128.433,280000.0
Built to Last,0.824,0.762,-6.243,0.288,0.399,0.0,0.0701,0.295,100.499,186866.0
A Good Heart,0.653,0.884,-10.224,0.0444,0.417,0.0,0.318,0.762,104.647,281800.0
Ordinary World,0.472,0.652,-10.171,0.0305,0.0131,1.12e-05,0.14,0.401,140.124,340200.0
Mr. Jones,0.578,0.817,-6.542,0.0363,0.183,3.06e-06,0.285,0.726,141.621,272293.0
Walking On Sunshine,0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,238733.0
Live Is Life - Live,0.649,0.96,-4.876,0.13,0.0286,0.0,0.995,0.503,93.924,283707.0
Bend & Break,0.471,0.843,-3.592,0.0295,0.000734,1.91e-05,0.163,0.484,137.92,220133.0
Invisible Touch,0.617,0.931,-6.845,0.0345,0.186,0.00166,0.171,0.849,131.014,208027.0
Sowing The Seeds Of Love,0.209,0.795,-7.241,0.0443,0.0109,5.63e-05,0.355,0.682,171.975,376733.0
The Power Of Love,0.768,0.829,-5.109,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,234333.0
"All For Love - From ""The Three Musketeers"" Soundtrack",0.419,0.569,-6.239,0.0288,0.191,0.0,0.126,0.137,74.841,283707.0
Beds Are Burning - Remastered,0.753,0.427,-11.112,0.0387,0.00787,0.00065,0.058,0.295,119.18,255680.0
Breakfast At Tiffany's,0.622,0.829,-5.548,0.029,0.11,0.0,0.0954,0.539,110.367,257373.0
We Don't Need Another Hero (Thunderdome),0.69,0.674,-5.866,0.0471,0.201,0.00612,0.114,0.713,98.851,255187.0
Give A Little Bit,0.531,0.818,-5.358,0.0452,0.0694,0.0096,0.263,0.471,90.767,248173.0
Supergirl,0.735,0.905,-3.002,0.0691,0.0206,0.0,0.05,0.784,136.002,174267.0
Unchain My Heart,0.751,0.674,-12.976,0.0425,0.0214,0.000143,0.32,0.696,117.969,304293.0
The Reason,0.472,0.671,-4.649,0.029,0.0129,0.0,0.159,0.0681,82.952,232800.0
Black Velvet,0.754,0.366,-10.07,0.0312,0.273,9.04e-05,0.106,0.469,91.147,287440.0
Lovefool - Radio Edit,0.64,0.602,-7.902,0.0299,0.0646,0.0,0.375,0.951,111.87,193893.0
When You're Gone,0.603,0.691,-5.805,0.0372,0.0248,0.0,0.583,0.577,147.148,172267.0
She Drives Me Crazy,0.799,0.687,-5.682,0.0431,0.193,0.000188,0.0307,0.965,108.804,215773.0
Natural Blues,0.681,0.653,-7.891,0.0328,0.046,0.0513,0.276,0.656,107.988,253760.0
Sweetest Thing - The Single Mix,0.535,0.681,-5.017,0.0364,0.088,2.17e-05,0.306,0.537,142.214,179907.0
(I Just) Died In Your Arms,0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,280400.0
Can't Stop Loving You,0.604,0.778,-5.686,0.0259,0.00726,1.33e-05,0.114,0.419,100.155,256453.0
Money's Too Tight (To Mention),0.761,0.813,-6.018,0.0299,0.322,0.00219,0.0588,0.878,113.415,252960.0
Cold as Ice - 2008 Remaster,0.554,0.708,-5.318,0.0271,0.0594,2.72e-06,0.143,0.512,131.157,200027.0
Sweet Sixteen - Remastered,0.585,0.666,-11.45,0.0352,0.441,0.0517,0.162,0.673,156.366,254733.0
Suddenly I See,0.587,0.767,-5.713,0.0449,0.225,0.0,0.112,0.664,100.38,201707.0
Suicide Blonde,0.644,0.97,-3.166,0.111,0.00274,0.000234,0.295,0.634,120.328,232010.0
One Love / People Get Ready,0.67,0.516,-9.598,0.366,0.0673,0.0,0.0674,0.939,154.186,172933.0
Dancing in the Dark,0.527,0.942,-5.64,0.0366,0.0115,0.0,0.188,0.495,148.723,241307.0
Billie Jean,0.92,0.654,-3.051,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827.0
Beat It - Single Version,0.473,0.415,-9.98,0.0326,0.592,0.000109,0.311,0.739,152.595,248253.0
Don't Let the Sun Go Down on Me,0.424,0.446,-8.526,0.0261,0.121,1.89e-06,0.0921,0.354,139.701,336733.0
Don't Leave Me This Way (with Sarah Jane Morris),0.64,0.926,-5.597,0.0322,0.135,2.04e-06,0.134,0.901,131.997,271067.0
Black Hole Sun,0.35,0.828,-5.373,0.041,0.000217,0.000161,0.0774,0.147,105.435,318587.0
Love Is A Battlefield - Remastered,0.675,0.88,-4.268,0.0532,0.0368,0.00039,0.0768,0.844,90.736,250427.0
The A Team,0.642,0.289,-9.918,0.0366,0.669,0.0,0.18,0.408,84.996,258373.0
Joyride - Single Version,0.651,0.74,-6.244,0.0272,0.0862,0.0,0.142,0.615,102.233,241733.0
Say You Will - 2008 Remaster,0.693,0.816,-4.488,0.027,0.195,0.0,0.0406,0.589,126.068,255520.0
I'll Be Waiting,0.547,0.848,-2.684,0.0367,0.049,0.0,0.114,0.749,160.063,241351.0
Bitch,0.587,0.698,-8.948,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720.0
Fast Car,0.711,0.292,-15.523,0.037,0.313,0.0,0.131,0.194,103.951,296800.0
Bad Day,0.599,0.785,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,233640.0
Uno,0.978,0.477,-8.159,0.155,0.000143,0.0,0.133,0.196,110.002,109091.0
I'll Be There for You (Theme from Friends) - Single Version,0.164,0.919,-5.834,0.149,0.0707,2.25e-06,0.158,0.662,190.182,189573.0
I've Been Thinking About You,0.63,0.595,-14.986,0.038,0.0434,0.0363,0.0902,0.878,113.561,317933.0
St Elmo's Fire,0.612,0.6,-10.945,0.0327,0.15,3.04e-06,0.222,0.471,111.203,251800.0
Duel,0.471,0.411,-15.755,0.041,0.733,0.853,0.28,0.282,79.986,254347.0
"Baby, I Love Your Way",0.651,0.747,-7.269,0.0699,0.0528,0.0,0.207,0.776,147.518,249520.0
Mr Rock & Roll,0.61,0.858,-4.867,0.0318,0.0284,0.0,0.102,0.421,110.881,214813.0
Everywhere,0.73,0.487,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965,226653.0
The Look,0.634,0.838,-5.363,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011,237320.0
You Don't Know,0.765,0.502,-7.393,0.0321,0.119,0.0011,0.171,0.836,144.204,289440.0
Can You Feel It,0.798,0.599,-5.124,0.0281,0.216,0.242,0.0544,0.776,97.008,251013.0
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",0.622,0.865,-6.369,0.0531,0.0167,2.34e-05,0.0692,0.87,149.706,227800.0
Thank U,0.717,0.653,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966,207320.0
Life's What You Make It,0.655,0.686,-5.701,0.028,0.371,1.13e-06,0.113,0.544,112.974,186109.0
We Are Young (feat. Janelle Monáe),0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627.0
Lady - Hear Me Tonight,0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041,307154.0
Easy,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695.0
It's a Sin,0.538,0.86,-5.916,0.0435,0.252,0.000527,0.247,0.291,127.153,299307.0
All The Small Things,0.434,0.897,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,167067.0
Wanna Be Startin' Somethin' - Single Version,0.844,0.934,-4.908,0.0465,0.0228,0.291,0.0782,0.85,122.256,257427.0
The Way It Is,0.582,0.689,-12.203,0.0277,0.607,0.0571,0.145,0.531,111.166,297853.0
We Didn't Start the Fire,0.712,0.967,-5.206,0.047,0.0771,0.0,0.356,0.895,145.024,287733.0
Enjoy the Silence,0.626,0.667,-11.817,0.0283,0.209,0.000257,0.0779,0.83,112.776,257631.0
Sex on Fire,0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,203347.0
Wherever You Will Go,0.558,0.719,-5.113,0.0267,0.0367,0.0,0.115,0.371,112.027,208600.0
We Built This City,0.661,0.908,-4.897,0.039,0.052,0.0,0.0708,0.656,144.091,296080.0
Sweet Dreams (Are Made of This),0.692,0.711,-7.498,0.0317,0.225,0.0,0.12,0.875,125.135,216933.0
Loverboy,0.604,0.466,-10.093,0.0315,0.649,0.0334,0.093,0.499,120.045,224520.0
"Get Outta My Dreams, Get Into My Car",0.666,0.91,-6.457,0.0399,0.0874,8.41e-06,0.336,0.919,117.14,284373.0
Rock with You - Single Version,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.158,0.848,114.031,220627.0
Freedom! '90,0.677,0.852,-10.856,0.0449,0.225,4.04e-05,0.0595,0.93,91.689,390862.0
It's Alright (Baby's Coming Back),0.624,0.73,-6.537,0.0545,0.405,0.0,0.079,0.485,92.991,227493.0
Sweet Home Alabama,0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800.0
The Final Countdown,0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333.0
Jeanny,0.648,0.659,-10.456,0.0456,0.451,0.0,0.189,0.465,105.914,355989.0
Smooth Criminal - Radio Edit,0.854,0.957,-6.07,0.0704,0.156,0.625,0.308,0.628,118.184,257240.0
Holiday,0.552,0.89,-3.409,0.0342,0.000143,0.0,0.888,0.716,146.525,232680.0
Just Give Me a Reason (feat. Nate Ruess),0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733.0
Friends (Single Edit),0.346,0.824,-13.465,0.038,0.00043,0.917,0.286,0.513,176.129,190800.0
Slave To The Music,0.661,0.87,-10.826,0.0365,0.000395,0.00315,0.332,0.973,131.013,244067.0
Kiss from a Rose,0.584,0.533,-7.11,0.0305,0.684,0.0,0.306,0.224,131.745,288427.0
Miami,0.877,0.534,-6.178,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,197560.0
Missing,0.628,0.877,-4.205,0.046,0.0155,5.97e-06,0.113,0.721,101.992,217408.0
Back for Good - Radio Mix,0.601,0.504,-9.761,0.0284,0.31,0.0,0.137,0.564,78.986,242267.0
Millennium - 2004 Mix / Radio Edit,0.509,0.898,-5.371,0.0596,0.0813,0.0,0.158,0.767,91.236,225587.0
We’re Going to Ibiza!,0.786,0.876,-4.899,0.0362,0.0114,0.000784,0.0796,0.966,103.983,217539.0
MMMBop,0.683,0.937,-6.335,0.0449,0.00481,0.0046,0.07,0.619,104.872,268653.0
Tearin' up My Heart - Radio Edit,0.687,0.918,-4.676,0.0392,0.00211,1.26e-05,0.344,0.747,110.06,209400.0
Blue (Da Ba Dee),0.822,0.969,-11.471,0.0582,0.259,0.000153,0.39,0.765,128.007,283748.0
When You Say Nothing At All,0.514,0.243,-12.348,0.0288,0.752,0.00054,0.0822,0.388,171.816,260800.0
Show Me Love,0.811,0.833,-4.259,0.153,0.014,2.06e-05,0.0769,0.567,120.258,252107.0
Children - Dream Version,0.596,0.814,-10.054,0.03,0.00129,0.776,0.467,0.177,137.052,426627.0
Heal the World,0.545,0.485,-8.045,0.0485,0.537,1.8e-06,0.104,0.101,80.948,384307.0
(You Drive Me) Crazy,0.748,0.939,-4.288,0.0341,0.0534,0.0,0.32,0.96,104.001,198067.0
Picture Of You,0.768,0.919,-6.066,0.0416,0.109,1.14e-06,0.366,0.862,116.649,206040.0
Basket Case,0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533.0
Get Down (You're the One for Me) - LP Edit No Rap,0.776,0.944,-4.854,0.0404,0.073,0.0,0.0866,0.757,113.012,230733.0
Sometimes,0.674,0.58,-4.866,0.0311,0.0609,0.0,0.159,0.0759,121.987,259672.0
"The Key, The Secret",0.702,0.796,-6.99,0.0315,0.0759,0.00253,0.109,0.607,129.878,222667.0
Never Ever,0.622,0.542,-6.215,0.051,0.387,0.0,0.114,0.939,174.494,136200.0
Return To Innocence,0.476,0.584,-12.357,0.038,0.119,0.0,0.274,0.417,88.026,255467.0
Sweat (A La La La La Long),0.787,0.728,-7.705,0.218,0.0124,0.0,0.157,0.94,173.026,227067.0
Jessie,0.727,0.834,-5.851,0.0496,0.165,0.0,0.105,0.816,131.7,194120.0
Lemon Tree,0.611,0.584,-6.897,0.0301,0.083,0.0,0.432,0.181,116.106,243486.0
Cryin',0.445,0.856,-3.674,0.0327,0.000202,0.0101,0.367,0.486,105.872,308333.0
I Wanna Sex You Up - Single Mix,0.551,0.591,-8.404,0.12,0.00549,6.55e-06,0.0416,0.474,201.81,236947.0
"No, No, No, Pt. 1",0.694,0.368,-7.264,0.0655,0.19,0.0,0.14,0.465,60.117,247040.0
Nothing Compares 2 U,0.511,0.574,-7.016,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,280040.0
Ain't That Just The Way,0.743,0.651,-9.336,0.221,0.0583,0.0,0.186,0.768,173.871,214800.0
Blood on the Dance Floor,0.807,0.741,-4.472,0.083,0.0135,0.0316,0.06,0.558,108.989,253000.0
Scar Tissue,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907.0
Go,0.563,0.664,-5.044,0.154,0.335,0.0,0.0849,0.688,166.928,178147.0
Truly Madly Deeply,0.555,0.698,-8.874,0.0287,0.403,0.0,0.0851,0.816,168.12,277267.0
Pretty Fly (For a White Guy),0.723,0.895,-3.707,0.102,0.088,0.0,0.0717,0.963,143.373,188667.0
No Matter What,0.529,0.743,-5.523,0.0481,0.177,0.0,0.0759,0.78,116.817,180547.0
The Shoop Shoop Song (It's In His Kiss),0.678,0.61,-10.509,0.0306,0.467,0.0,0.397,0.919,117.04,170000.0
Earth Song - Radio Edit,0.523,0.411,-7.351,0.0298,0.478,4.21e-05,0.0792,0.198,138.291,301000.0
Waterfalls,0.769,0.505,-7.345,0.0829,0.311,7.49e-05,0.0777,0.757,171.804,279507.0
All I Wanna Do,0.82,0.528,-11.179,0.0321,0.111,0.0186,0.257,0.931,120.091,272107.0
Viva Forever - Radio Edit,0.506,0.665,-8.893,0.0366,0.0881,0.121,0.121,0.203,168.787,254293.0
Insomnia,0.517,0.713,-8.508,0.0403,0.243,0.852,0.133,0.367,129.917,212308.0
Give In to Me,0.624,0.357,-10.031,0.0234,0.632,9.2e-06,0.112,0.402,79.998,209920.0
Genie in a Bottle,0.633,0.8,-6.945,0.166,0.209,0.000123,0.137,0.913,175.716,217573.0
Anything,0.458,0.976,-3.791,0.0459,0.00182,0.0,0.193,0.76,154.007,218867.0
Mama - Radio Version,0.801,0.715,-3.019,0.336,0.139,0.0,0.161,0.68,80.518,211973.0
Ready to Go,0.491,0.655,-8.694,0.0372,0.0414,3.79e-06,0.321,0.446,89.978,187760.0
Together Again,0.873,0.593,-8.942,0.103,0.078,0.00697,0.104,0.495,123.091,301200.0
Freak Me,0.697,0.608,-10.976,0.0463,0.0295,0.0,0.276,0.725,133.879,274533.0
Creep,0.515,0.43,-9.935,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640.0
Bye Bye Bye,0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400.0
I Want It That Way,0.689,0.694,-5.83,0.027,0.257,0.0,0.148,0.482,99.039,213307.0
The Power of Good-Bye,0.534,0.561,-11.089,0.0409,0.0442,0.678,0.189,0.219,84.978,250560.0
"It Must Have Been Love - From the Film ""Pretty Woman""",0.52,0.652,-6.655,0.0274,0.34,5.49e-05,0.256,0.722,80.609,258787.0
Quit Playing Games (With My Heart),0.8,0.875,-4.952,0.0338,0.0615,2.79e-06,0.13,0.882,100.033,233533.0
Boombastic,0.867,0.538,-16.183,0.361,0.242,1.75e-05,0.316,0.781,158.328,249933.0
The Boy Is Mine,0.704,0.707,-6.537,0.0391,0.539,0.00106,0.318,0.761,93.145,294787.0
"Fastlove, Pt. 1",0.735,0.64,-7.522,0.072,0.052,0.00102,0.345,0.551,104.444,324667.0
Streets of Philadelphia,0.741,0.29,-13.251,0.0302,0.294,0.118,0.0924,0.443,93.699,195080.0
Summertime,0.48,0.928,-5.501,0.0899,0.169,0.0,0.0479,0.713,167.986,206587.0
Save Tonight,0.547,0.693,-8.786,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,239227.0
Bug a Boo (H-Town Screwed Mix),0.76,0.718,-3.087,0.147,0.00413,7.63e-06,0.18,0.927,104.42,212440.0
Gangsta's Paradise (feat. L.V.),0.74,0.278,-13.721,0.307,0.182,0.0,0.145,0.29,81.024,237973.0
Torn,0.575,0.886,-5.182,0.034,0.0647,0.000187,0.709,0.609,96.31,244667.0
Step by Step,0.787,0.63,-12.295,0.0609,0.0274,6.69e-06,0.161,0.882,125.347,267293.0
Around the World - Radio Edit [Radio Edit],0.934,0.76,-5.549,0.148,0.00417,0.906,0.0656,0.864,121.302,241467.0
Don't You Want Me - Edit,0.648,0.916,-6.456,0.0596,0.0331,0.0541,0.0883,0.431,127.993,209903.0
Up & Down,0.589,0.882,-3.039,0.035,0.0813,0.0,0.146,0.793,129.915,197253.0
Summer Of '69,0.508,0.834,-6.205,0.0386,0.0183,0.0,0.0732,0.774,139.131,216053.0
Be My Lover,0.669,0.941,-5.765,0.0313,0.00129,4.3e-06,0.886,0.841,134.809,240267.0
I'll Be Missing You (feat. 112),0.862,0.479,-9.199,0.0645,0.0523,0.00126,0.589,0.924,109.877,301520.0
You Make Me Wanna...,0.761,0.639,-7.577,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120.0
Will You Be There - Single Version,0.413,0.626,-6.504,0.0735,0.511,0.000338,0.0845,0.435,82.971,220387.0
Smooth,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,209267.0
Ode To My Family,0.365,0.443,-10.11,0.0235,0.0472,1.44e-06,0.344,0.149,93.953,271533.0
Two Princes,0.543,0.912,-10.71,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,256733.0
What a Girl Wants,0.754,0.819,-6.833,0.112,0.0684,0.0,0.345,0.818,142.137,215800.0
All I Wanna Do Is Make Love to You,0.626,0.746,-8.832,0.0282,0.16,0.0,0.0618,0.8,102.896,310893.0
Captain Jack - Short Mix,0.667,0.999,-4.375,0.0828,0.0726,4.16e-05,0.238,0.566,149.875,248533.0
I Believe I Can Fly,0.55,0.444,-7.588,0.0292,0.241,0.0,0.187,0.0438,120.179,320667.0
Sing Hallelujah!,0.759,0.822,-7.268,0.0367,0.00136,0.0171,0.131,0.94,124.713,240933.0
God Is a DJ,0.639,0.977,-3.199,0.0598,0.0901,2.4e-06,0.238,0.4,111.966,225400.0
Everybody (Backstreet's Back) - Extended Version,0.792,0.81,-5.198,0.0368,0.00609,0.000153,0.224,0.509,108.054,287293.0
Smells Like Teen Spirit,0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920.0
Ready or Not,0.715,0.872,-3.835,0.0509,0.00351,3.84e-05,0.107,0.748,93.043,200947.0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",0.39,0.649,-5.163,0.0345,0.172,0.0,0.216,0.144,121.16,299760.0
Oh L'Amour,0.611,0.775,-10.938,0.0298,0.105,0.0453,0.0562,0.787,121.252,187733.0
Brother Louie,0.783,0.836,-9.223,0.0486,0.396,0.0236,0.135,0.831,108.966,222667.0
When Love Takes Over (feat. Kelly Rowland),0.675,0.862,-4.614,0.0253,0.0165,0.000427,0.169,0.498,129.967,191000.0
7 Seconds,0.662,0.575,-5.877,0.0263,0.184,0.0,0.0552,0.617,116.955,252856.0
7 Days,0.659,0.812,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014,235133.0
4 Minutes (feat. Justin Timberlake & Timbaland),0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029,189693.0
2 Become 1,0.646,0.665,-7.878,0.0268,0.326,1.97e-05,0.238,0.7,143.966,241027.0
Welcome To The Jungle,0.453,0.987,-4.485,0.0889,0.0195,0.283,0.268,0.316,123.544,273480.0
Alive - 2004 Remix,0.186,0.965,-3.945,0.0709,0.00131,2.21e-05,0.54,0.421,150.25,341693.0
Beautiful Day,0.539,0.926,-6.495,0.0499,0.014,0.00136,0.36,0.454,136.279,246400.0
Motorcycle Emptiness,0.525,0.806,-3.655,0.03,8.18e-06,0.0552,0.157,0.213,112.453,305693.0
Let Her Go,0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.243,74.897,252733.0
Hotel California - 2013 Remaster,0.579,0.508,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376.0
Going to the Run,0.577,0.872,-6.354,0.0379,0.000107,0.667,0.308,0.89,111.015,113514.0
Girl,0.767,0.438,-8.726,0.29,0.181,0.0,0.142,0.381,86.975,221980.0
Faith,0.202,0.644,-5.212,0.0324,0.0979,0.0,0.109,0.252,85.04,267080.0
Stairway To Heaven,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,482830.0
Jesus He Knows Me,0.579,0.888,-7.288,0.0435,0.53,1.93e-06,0.146,0.567,95.0,256520.0
Black - 2004 Remix,0.341,0.68,-5.156,0.0378,0.0452,0.0,0.111,0.181,76.347,339267.0
Sweet Child O' Mine,0.446,0.952,-5.321,0.0523,0.0901,0.0857,0.112,0.624,125.303,356067.0
The River,0.65,0.908,-5.062,0.0345,0.0951,0.0,0.347,0.75,123.996,195209.0
Thank You,0.722,0.595,-9.928,0.0415,0.284,0.00054,0.0694,0.738,79.981,217827.0
The Unforgiven,0.531,0.583,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,387160.0
Child in Time,0.338,0.461,-10.74,0.0396,0.17,0.564,0.0927,0.351,126.698,620373.0
More Than a Feeling,0.377,0.681,-8.039,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133.0
A Little Less Conversation - JXL Radio Edit Remix,0.597,0.97,-5.972,0.0502,0.000385,0.205,0.133,0.717,114.999,211507.0
Piano Man,0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000.0
Drops of Jupiter,0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0
Old and Wise,0.375,0.317,-11.741,0.0315,0.727,2.92e-05,0.123,0.12,112.003,295253.0
September,0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,215093.0
Everlasting Love,0.546,0.828,-4.771,0.0394,0.719,0.03,0.372,0.401,121.418,153947.0
Vertigo/Relight My Fire,0.739,0.829,-5.337,0.0346,0.00852,0.674,0.285,0.927,120.856,682867.0
Heartbreak Warfare,0.624,0.554,-8.113,0.0225,0.191,0.00131,0.299,0.311,97.031,269720.0
Through the Barricades,0.434,0.324,-13.994,0.0289,0.0972,4.76e-05,0.0996,0.18,146.088,321173.0
Rain Down on Me,0.469,0.467,-6.471,0.041,0.583,0.687,0.185,0.13,72.04,439973.0
Time Stood Still,0.519,0.914,-0.105,0.0556,0.0226,5.59e-05,0.943,0.147,75.011,243200.0
Leningrad,0.508,0.52,-6.32,0.0273,0.38,5.91e-06,0.117,0.233,138.782,242707.0
Superstitious,0.598,0.832,-4.871,0.065,0.258,0.0,0.104,0.326,159.953,223393.0
Get Up (I Feel Like Being A) Sex Machine,0.838,0.616,-8.351,0.0711,0.18,7.17e-06,0.193,0.848,107.695,316333.0
Glory Days,0.574,0.96,-4.906,0.032,0.0457,0.0,0.121,0.978,117.486,254733.0
She's Not There,0.523,0.803,-5.189,0.045,0.579,0.0,0.0948,0.898,132.316,145293.0
Stop Loving You,0.555,0.649,-13.345,0.0302,0.234,0.0695,0.0554,0.596,101.743,269227.0
The Eve of the War (feat. Richard Burton & Justin Hayward),0.479,0.778,-5.922,0.0765,0.14,0.0365,0.234,0.446,127.616,547467.0
We Come 1 - Radio Edit,0.645,0.903,-10.587,0.0441,0.00188,0.799,0.147,0.61,135.977,222436.0
Raise Your Glass,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.029,0.624,122.019,202960.0
Mr. Brightside,0.352,0.911,-5.23,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973.0
Paradise City,0.268,0.98,-5.958,0.103,0.0192,0.00709,0.182,0.395,100.315,405600.0
Pompeii,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,214148.0
So Lonely,0.541,0.571,-8.308,0.16,0.0123,1.55e-06,0.0933,0.73,77.335,289587.0
Big Love,0.71,0.748,-10.558,0.0482,0.0287,0.156,0.0741,0.619,125.374,222373.0
Some Kind Of Wonderful,0.855,0.691,-6.51,0.0514,0.144,0.0,0.36,0.647,121.472,202733.0
Thought You Were on My Side,0.674,0.598,-10.888,0.0331,0.509,0.0,0.288,0.746,119.298,259373.0
Harder Dan Ik Hebben Kan,0.528,0.439,-10.152,0.0349,0.507,0.00122,0.102,0.318,188.113,236949.0
Right Next Door (Because Of Me),0.606,0.646,-8.485,0.0489,0.231,0.00121,0.0471,0.79,86.771,258853.0
Somewhere Down The Crazy River,0.544,0.355,-17.764,0.0479,0.0642,1.73e-05,0.117,0.746,81.525,295373.0
Just Around the Corner,0.653,0.658,-10.38,0.0335,0.225,0.00108,0.0599,0.575,122.074,256267.0
My Hometown,0.565,0.503,-8.638,0.0283,0.138,0.0,0.0945,0.567,141.042,262867.0
If I Ever Lose My Faith In You,0.379,0.562,-8.078,0.0376,0.0741,1.17e-05,0.137,0.172,173.861,274056.0
Breakfast In America,0.532,0.663,-5.886,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,159347.0
Chariot,0.28,0.779,-5.104,0.0513,0.0435,0.0,0.37,0.345,167.134,239173.0
Mama,0.768,0.809,-4.204,0.0616,0.278,0.0,0.139,0.748,111.989,177773.0
